icd9_hcup,icd9_omop,icd9_ccs,ccs2,ccs2_desc,hcup_desc,omop_desc,concept_id
34.4,34.4,34.4,6.9,Other OR therapeutic procedures on respiratory system [42.],DESTRUCT CHEST WALL LES,Excision or destruction of lesion of chest wall,2001410
34.51,34.51,34.51,6.9,Other OR therapeutic procedures on respiratory system [42.],DECORTICATION OF LUNG,Decortication of lung,2001412
34.52,34.52,34.52,6.9,Other OR therapeutic procedures on respiratory system [42.],THORACOSCOPC DECORT LUNG (Begin 2007),Thoracoscopic decortication of lung,2001413
34.59,34.59,34.59,6.9,Other OR therapeutic procedures on respiratory system [42.],OTHER PLEURAL EXCISION,Other excision of pleura,2001414
34.6,34.6,34.6,6.9,Other OR therapeutic procedures on respiratory system [42.],SCARIFICATION OF PLEURA,Scarification of pleura,2001415
34.73,34.73,34.73,6.9,Other OR therapeutic procedures on respiratory system [42.],CLOS THORACIC FISTUL NEC,Closure of other fistula of thorax,2001419
34.74,34.74,34.74,6.9,Other OR therapeutic procedures on respiratory system [42.],PECTUS DEFORMITY REPAIR,Repair of pectus deformity,2001420
34.79,34.79,34.79,6.9,Other OR therapeutic procedures on respiratory system [42.],OTHER CHEST WALL REPAIR,Other repair of chest wall,2001421
34.81,34.81,34.81,6.9,Other OR therapeutic procedures on respiratory system [42.],EXCISE DIAPHRAGM LESION,Excision of lesion or tissue of diaphragm,2001423
34.82,34.82,34.82,6.9,Other OR therapeutic procedures on respiratory system [42.],SUTURE DIAPHRAGM LACERAT,Suture of laceration of diaphragm,2001424
34.83,34.83,34.83,6.9,Other OR therapeutic procedures on respiratory system [42.],CLOSE DIAPHRAGM FISTULA,Closure of fistula of diaphragm,2001425
34.84,34.84,34.84,6.9,Other OR therapeutic procedures on respiratory system [42.],OTHER DIAPHRAGM REPAIR,Other repair of diaphragm,2001426
34.85,34.85,34.85,6.9,Other OR therapeutic procedures on respiratory system [42.],IMPLANT DIAPHRA PACEMAKE,Implantation of diaphragmatic pacemaker,2001427
34.89,34.89,34.89,6.9,Other OR therapeutic procedures on respiratory system [42.],DIAPHRAGM OPERATION NEC,Other operations on diaphragm,2001428
34.93,34.93,34.93,6.9,Other OR therapeutic procedures on respiratory system [42.],REPAIR OF PLEURA,Repair of pleura,2001432
34.99,34.99,34.99,6.9,Other OR therapeutic procedures on respiratory system [42.],THORACIC OPERATION NEC,Other operations on thorax,2001433
35.00,35.00,35.00,7.1,Heart valve procedures [43.],CLOSED VALVOTOMY NOS,"Closed heart valvotomy, unspecified valve",2001436
35.01,35.01,35.01,7.1,Heart valve procedures [43.],CLOSED AORTIC VALVOTOMY,"Closed heart valvotomy, aortic valve",2001437
35.02,35.02,35.02,7.1,Heart valve procedures [43.],CLOSED MITRAL VALVOTOMY,"Closed heart valvotomy, mitral valve",2001438
35.03,35.03,35.03,7.1,Heart valve procedures [43.],CLOSED PULMON VALVOTOMY,"Closed heart valvotomy, pulmonary valve",2001439
35.04,35.04,35.04,7.1,Heart valve procedures [43.],CLOSED TRICUSP VALVOTOMY,"Closed heart valvotomy, tricuspid valve",2001440
35.05,35.05,35.05,7.1,Heart valve procedures [43.],ENDOVAS REPL AORTC VALVE (Begin 2011),Endovascular replacement of aortic valve,40756791
35.06,35.06,35.06,7.1,Heart valve procedures [43.],TRNSAPCL REP AORTC VALVE (Begin 2011),Transapical replacement of aortic valve,40756792
35.07,35.07,35.07,7.1,Heart valve procedures [43.],ENDOVAS REPL PULM VALVE (Begin 2011),Endovascular replacement of pulmonary valve,40756772
35.08,35.08,35.08,7.1,Heart valve procedures [43.],TRNSAPCL REPL PULM VALVE (Begin 2011),Transapical replacement of pulmonary valve,40756793
35.09,35.09,35.09,7.1,Heart valve procedures [43.],ENDOVAS REPL UNS HRT VLV (Begin 2011),Endovascular replacement of unspecified heart valve,40756774
35.10,35.10,35.10,7.1,Heart valve procedures [43.],OPEN VALVULOPLASTY NOS,"Open heart valvuloplasty without replacement, unspecified valve",2001442
35.11,35.11,35.11,7.1,Heart valve procedures [43.],OPN AORTIC VALVULOPLASTY,Open heart valvuloplasty of aortic valve without replacement,2001443
35.12,35.12,35.12,7.1,Heart valve procedures [43.],OPN MITRAL VALVULOPLASTY,Open heart valvuloplasty of mitral valve without replacement,2001444
35.13,35.13,35.13,7.1,Heart valve procedures [43.],OPN PULMON VALVULOPLASTY,Open heart valvuloplasty of pulmonary valve without replacement,2001445
35.14,35.14,35.14,7.1,Heart valve procedures [43.],OPN TRICUS VALVULOPLASTY,Open heart valvuloplasty of tricuspid valve without replacement,2001446
35.20,35.20,35.20,7.1,Heart valve procedures [43.],REPLACE HEART VALVE NOS,Open and other replacement of unspecified heart valve,2001448
35.21,35.21,35.21,7.1,Heart valve procedures [43.],REPLACE AORT VALVTISSUE,Open and other replacement of aortic valve with tissue graft,2001449
35.22,35.22,35.22,7.1,Heart valve procedures [43.],REPLACE AORTIC VALVE NEC,Open and other replacement of aortic valve,2001450
35.23,35.23,35.23,7.1,Heart valve procedures [43.],REPLACE MITR VALVTISSUE,Open and other replacement of mitral valve with tissue graft,2001451
35.24,35.24,35.24,7.1,Heart valve procedures [43.],REPLACE MITRAL VALVE NEC,Open and other replacement of mitral valve,2001452
35.25,35.25,35.25,7.1,Heart valve procedures [43.],REPLACE PULM VALVTISSUE,Open and other replacement of pulmonary valve with tissue graft,2001453
35.26,35.26,35.26,7.1,Heart valve procedures [43.],REPLACE PULMON VALVE NEC,Open and other replacement of pulmonary valve,2001454
35.27,35.27,35.27,7.1,Heart valve procedures [43.],REPLACE TRIC VALVTISSUE,Open and other replacement of tricuspid valve with tissue graft,2001455
35.28,35.28,35.28,7.1,Heart valve procedures [43.],REPLACE TRICUSP VALV NEC,Open and other replacement of tricuspid valve,2001456
35.31,35.31,35.31,7.7,Other OR heart procedures [49.],PAPILLARY MUSCLE OPS,Operations on papillary muscle,2001458
35.32,35.32,35.32,7.7,Other OR heart procedures [49.],CHORDAE TENDINEAE OPS,Operations on chordae tendineae,2001459
35.33,35.33,35.33,7.7,Other OR heart procedures [49.],ANNULOPLASTY,Annuloplasty,2001460
35.34,35.34,35.34,7.7,Other OR heart procedures [49.],INFUNDIBULECTOMY,Infundibulectomy,2001461
35.35,35.35,35.35,7.7,Other OR heart procedures [49.],TRABECUL CARNEAE CORD OP,Operations on trabeculae carneae cordis,2001462
35.39,35.39,35.39,7.7,Other OR heart procedures [49.],TISS ADJ TO VALV OPS NEC,Operations on other structures adjacent to valves of heart,2001463
35.42,35.42,35.42,7.7,Other OR heart procedures [49.],CREATE SEPTAL DEFECT,Creation of septal defect in heart,2001466
35.50,35.50,35.50,7.7,Other OR heart procedures [49.],PROSTH REP HRT SEPTA NOS,Repair of unspecified septal defect of heart with prosthesis,2001468
35.51,35.51,35.51,7.7,Other OR heart procedures [49.],PROS REP ATRIAL DEFOPN,"Repair of atrial septal defect with prosthesis, open technique",2001469
35.52,35.52,35.52,7.7,Other OR heart procedures [49.],PROS REPAIR ATRIA DEFCL,"Repair of atrial septal defect with prosthesis, closed technique",2001470
35.53,35.53,35.53,7.7,Other OR heart procedures [49.],PROST REPAIR VENTRIC DEF,"Repair of ventricular septal defect with prosthesis, open technique",2001471
35.54,35.54,35.54,7.7,Other OR heart procedures [49.],PROS REP ENDOCAR CUSHION,Repair of endocardial cushion defect with prosthesis,2001472
35.55,35.55,35.55,7.7,Other OR heart procedures [49.],PROS REP VENTRC DEF-CLOS (Begin 2006),"Repair of ventricular septal defect with prosthesis, closed technique",2001473
35.60,35.60,35.60,7.7,Other OR heart procedures [49.],GRFT REPAIR HRT SEPT NOS,Repair of unspecified septal defect of heart with tissue graft,2001475
35.61,35.61,35.61,7.7,Other OR heart procedures [49.],GRAFT REPAIR ATRIAL DEF,Repair of atrial septal defect with tissue graft,2001476
35.62,35.62,35.62,7.7,Other OR heart procedures [49.],GRAFT REPAIR VENTRIC DEF,Repair of ventricular septal defect with tissue graft,2001477
35.63,35.63,35.63,7.7,Other OR heart procedures [49.],GRFT REP ENDOCAR CUSHION,Repair of endocardial cushion defect with tissue graft,2001478
35.70,35.70,35.70,7.7,Other OR heart procedures [49.],HEART SEPTA REPAIR NOS,Other and unspecified repair of unspecified septal defect of heart,2001480
35.71,35.71,35.71,7.7,Other OR heart procedures [49.],ATRIA SEPTA DEF REP NEC,Other and unspecified repair of atrial septal defect,2001481
35.72,35.72,35.72,7.7,Other OR heart procedures [49.],VENTR SEPTA DEF REP NEC,Other and unspecified repair of ventricular septal defect,2001482
35.73,35.73,35.73,7.7,Other OR heart procedures [49.],ENDOCAR CUSHION REP NEC,Other and unspecified repair of endocardial cushion defect,2001483
35.81,35.81,35.81,7.7,Other OR heart procedures [49.],TOT REPAIR TETRAL FALLOT,Total repair of tetralogy of fallot,2001485
35.82,35.82,35.82,7.7,Other OR heart procedures [49.],TOTAL REPAIR OF TAPVC,Total repair of total anomalous pulmonary venous connection,2001486
35.83,35.83,35.83,7.7,Other OR heart procedures [49.],TOT REP TRUNCUS ARTERIOS,Total repair of truncus arteriosus,2001487
35.84,35.84,35.84,7.7,Other OR heart procedures [49.],TOT COR TRANSPOS GRT VES (Begin 1988),"Total correction of transposition of great vessels, not elsewhere classified",2001488
35.91,35.91,35.91,7.7,Other OR heart procedures [49.],INTERAT VEN RETRN TRANSP,Interatrial transposition of venous return,2001490
35.92,35.92,35.92,7.7,Other OR heart procedures [49.],CONDUIT RT VENTPUL ART,Creation of conduit between right ventricle and pulmonary artery,2001491
35.93,35.93,35.93,7.7,Other OR heart procedures [49.],CONDUIT LEFT VENTRAORTA,Creation of conduit between left ventricle and aorta,2001492
35.94,35.94,35.94,7.7,Other OR heart procedures [49.],CONDUIT ARTIUMPULM ART,Creation of conduit between atrium and pulmonary artery,2001493
35.95,35.95,35.95,7.7,Other OR heart procedures [49.],HEART REPAIR REVISION,Revision of corrective procedure on heart,2001494
35.96,35.96,35.96,7.1,Heart valve procedures [43.],PERC HEART VALVULOPLASTY (Begin 1986),Percutaneous balloon valvuloplasty,2001495
35.97,35.97,35.97,7.1,Heart valve procedures [43.],PERC MTRL VLV REPR W IMP (Begin 2010),Percutaneous mitral valve repair with implant,40756812
35.98,35.98,35.98,7.7,Other OR heart procedures [49.],OTHER HEART SEPTA OPS,Other operations on septa of heart,2001496
35.99,35.99,35.99,7.1,Heart valve procedures [43.],OTHER HEART VALVE OPS,Other operations on valves of heart,2001497
36.01,36.01,36.01,7.3,Percutaneous transluminal coronary angioplasty (PTCA) [45.],PTCA1 VESSEL W/O AGENT (Begin 1986 End 2005),Single vessel percutaneous transluminal coronary angioplasty [PTCA] or coronary atherectomy without mention of thrombolytic agent,2001500
36.02,36.02,36.02,7.3,Percutaneous transluminal coronary angioplasty (PTCA) [45.],PTCA1 VESSEL WITH AGNT (Begin 1986 End 2005),Single vessel percutaneous transluminal coronary angioplasty [PTCA] or coronary atherectomy with mention of thrombolytic agent,2001501
36.03,36.03,36.03,7.7,Other OR heart procedures [49.],OPEN CORONRY ANGIOPLASTY (Begin 1986),Open chest coronary artery angioplasty,2001502
36.05,36.05,36.05,7.3,Percutaneous transluminal coronary angioplasty (PTCA) [45.],PTCAMULTIPLE VESSEL (Begin 1986 End 2005),"Multiple vessel percutaneous transluminal coronary angioplasty [PTCA] or coronary atherectomy performed during the same operation, with or without mention of thrombolytic agent",2001504
36.09,36.09,36.09,7.7,Other OR heart procedures [49.],(OTH)REM COR ART OBST(NEC) (Begin 1986),Other removal of coronary artery obstruction,2001507
36.10,36.10,36.10,7.2,Coronary artery bypass graft (CABG) [44.],AORTOCORONARY BYPASS NOS,"Aortocoronary bypass for heart revascularization, not otherwise specified",2001509
36.11,36.11,36.11,7.2,Coronary artery bypass graft (CABG) [44.],AORTOCOR BYPAS1 COR ART,(Aorto)coronary bypass of one coronary artery,2001510
36.12,36.12,36.12,7.2,Coronary artery bypass graft (CABG) [44.],AORTOCOR BYPAS2 COR ART,(Aorto)coronary bypass of two coronary arteries,2001511
36.13,36.13,36.13,7.2,Coronary artery bypass graft (CABG) [44.],AORTOCOR BYPAS3 COR ART,(Aorto)coronary bypass of three coronary arteries,2001512
36.14,36.14,36.14,7.2,Coronary artery bypass graft (CABG) [44.],AORTCOR BYPAS4+ COR ART,(Aorto)coronary bypass of four or more coronary arteries,2001513
36.15,36.15,36.15,7.2,Coronary artery bypass graft (CABG) [44.],1 INT MAMCOR ART BYPASS,Single internal mammary-coronary artery bypass,2001514
36.16,36.16,36.16,7.2,Coronary artery bypass graft (CABG) [44.],2 INT MAMCOR ART BYPASS,Double internal mammary-coronary artery bypass,2001515
36.17,36.17,36.17,7.2,Coronary artery bypass graft (CABG) [44.],ABDCORON ART BYPASS (Begin 1996),Abdominal-coronary artery bypass,2001516
36.19,36.19,36.19,7.2,Coronary artery bypass graft (CABG) [44.],HRT REVAS BYPS ANAS NEC,Other bypass anastomosis for heart revascularization,2001517
36.2,36.2,36.2,7.2,Coronary artery bypass graft (CABG) [44.],ARTERIAL IMPLANT REVASC,Heart revascularization by arterial implant,2001518
36.3,36.3,36.3,7.2,Coronary artery bypass graft (CABG) [44.],HEART REVASCULARIZAT NEC (End 1998),Other heart revascularization,2001519
36.31,36.31,36.31,7.2,Coronary artery bypass graft (CABG) [44.],OPEN CHEST TRANSMYO REVASC (Begin 1998),Open chest transmyocardial revascularization,2001520
36.32,36.32,36.32,7.2,Coronary artery bypass graft (CABG) [44.],OTH TRANSMYO REVASC (Begin 1998),Other transmyocardial revascularization,2001521
36.33,36.33,36.33,7.2,Coronary artery bypass graft (CABG) [44.],ENDO TRANSMYO REVASCULAR (Begin 2006),Endoscopic transmyocardial revascularization,2001522
36.34,36.34,36.34,7.2,Coronary artery bypass graft (CABG) [44.],PERC TRANSMYO REVASCULAR (Begin 2006),Percutaneous transmyocardial revascularization,2001523
36.39,36.39,36.39,7.2,Coronary artery bypass graft (CABG) [44.],OTHER HEART REVASC (Begin 1998),Other heart revascularization,2001524
36.91,36.91,36.91,7.7,Other OR heart procedures [49.],CORON VESS ANEURYSM REP,Repair of aneurysm of coronary vessel,2001526
36.99,36.99,36.99,7.7,Other OR heart procedures [49.],HEART VESSEL OP NEC,Other operations on vessels of heart,2001527
37.10,37.10,37.10,7.7,Other OR heart procedures [49.],INCISION OF HEART NOS,"Incision of heart, not otherwise specified",2001531
37.11,37.11,37.11,7.7,Other OR heart procedures [49.],CARDIOTOMY,Cardiotomy,2001532
37.12,37.12,37.12,7.7,Other OR heart procedures [49.],PERICARDIOTOMY,Pericardiotomy,2001533
37.31,37.31,37.31,7.7,Other OR heart procedures [49.],PERICARDIECTOMY,Pericardiectomy,2001546
37.32,37.32,37.32,7.7,Other OR heart procedures [49.],HEART ANEURYSM EXCISION,Excision of aneurysm of heart,2001547
37.33,37.33,37.33,7.7,Other OR heart procedures [49.],EXC(/DEST) OTH HRT LESION (Begin 1980),"Excision or destruction of other lesion or tissue of heart, open approach",2001548
37.34,37.34,37.34,7.7,Other OR heart procedures [49.],CATH ABLATION LES HEART (Begin 1988),"Excision or destruction of other lesion or tissue of heart, endovascular approach",2001549
37.35,37.35,37.35,7.7,Other OR heart procedures [49.],PARTIAL VENTRICULECTOMY (Begin 1997),Partial ventriculectomy,2001550
37.37,37.37,37.37,7.7,Other OR heart procedures [49.],EXC/DEST HRT LES THRSPC (Begin 2010),"Excision or destruction of other lesion or tissue of heart, thoracoscopic approach",40756784
37.4,37.4,37.4,7.7,Other OR heart procedures [49.],HEART & PERICARD REPAIR,Repair of heart and pericardium,2001552
37.41,37.41,37.41,7.7,Other OR heart procedures [49.],IMPL CARDIAC SUPPORT DEV (Begin 2005),Implantation of prosthetic cardiac support device around the heart,2001553
37.49,37.49,37.49,7.7,Other OR heart procedures [49.],HEART/PERICARD REPR NEC (Begin 2005),Other repair of heart and pericardium,2001554
37.5,37.5,37.5,16.1,Other organ transplantation [176.],HEART TRANSPLANTATION (End 2003),Heart replacement procedures,2001555
37.51,37.51,37.51,16.1,Other organ transplantation [176.],HEART TRANSPLANTATION (Begin 2003),Heart transplantation,2001556
37.52,37.52,37.52,7.7,Other OR heart procedures [49.],IMPLANT TOTAL HEART REPLACEM (Begin 2003),Implantation of total internal biventricular heart replacement system,2001557
37.53,37.53,37.53,7.7,Other OR heart procedures [49.],REPLACE THORACIC UNIT TOTAL (Begin 2003),Replacement or repair of thoracic unit of (total) replacement heart system,2001558
37.54,37.54,37.54,7.7,Other OR heart procedures [49.],REPLACE OTHER COMPONENT HEAR (Begin 2003),Replacement or repair of other implantable component of (total) replacement heart system,2001559
37.55,37.55,37.55,7.7,Other OR heart procedures [49.],REM INT BIVENT HRT SYS (begin 2008),Removal of internal biventricular heart replacement system,2001560
37.60,37.60,37.60,7.7,Other OR heart procedures [49.],IMP BIVN EXT HRT AST SYS (begin 2008),Implantation or insertion of biventricular external heart assist system,2001562
37.61,37.61,37.61,7.7,Other OR heart procedures [49.],PULSATION BALLOON IMPLAN,Implant of pulsation balloon,2001563
37.62,37.62,37.62,7.7,Other OR heart procedures [49.],IMPLANT HRT ASST SYS NEC,Insertion of temporary non-implantable extracorporeal circulatory assist device,2001564
37.63,37.63,37.63,7.7,Other OR heart procedures [49.],REPLACE HRT ASSIST SYST,Repair of heart assist system,2001565
37.64,37.64,37.64,7.7,Other OR heart procedures [49.],REMOVE HEART ASSIST SYS,Removal of external heart assist system(s) or device(s),2001566
37.65,37.65,37.65,7.7,Other OR heart procedures [49.],IMPL EXTERN HEART ASSIST (Begin 1995),Implant of single ventricular (extracorporeal) external heart assist system,2001567
37.66,37.66,37.66,7.7,Other OR heart procedures [49.],IMPL INTERN HEART ASSIST (Begin 1995),Insertion of implantable heart assist system,2001568
37.67,37.67,37.67,7.7,Other OR heart procedures [49.],IMPLANT CARDIOMYOSTIM SYS (Begin 1998),Implantation of cardiomyostimulation system,2001569
37.68,37.68,37.68,7.7,Other OR heart procedures [49.],PERCUTAN HRT ASSIST SYST (Begin 2004),Insertion of percutaneous external heart assist device,2001570
37.74,37.74,37.74,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],INT OR REPL LEAD EPICAR (Begin 1987),Insertion or replacement of epicardial lead [electrode] into epicardium,2001576
37.75,37.75,37.75,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REVISION OF LEAD (Begin 1987),Revision of lead [electrode],2001577
37.76,37.76,37.76,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REPL TV ATRIVENT LEAD (Begin 1987),Replacement of transvenous atrial and/or ventricular lead(s) [electrode],2001578
37.77,37.77,37.77,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REMOVAL OF LEAD W/O REPL (Begin 1987),Removal of lead(s) [electrode] without replacement,2001579
37.79,37.79,37.79,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REVIS OR RELOCATE POCKET (Begin 1987),Revision or relocation of cardiac device pocket,2001581
37.80,37.80,37.80,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],INT OR REPL PERM PACEMKR (Begin 1987),"Insertion of permanent pacemaker, initial or replacement, type of device not specified",2001973
37.85,37.85,37.85,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REPL PACEM W 1CHAM NON (Begin 1987),"Replacement of any type pacemaker device with single-chamber device, not specified as rate responsive",2001977
37.86,37.86,37.86,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REPL PACEM 1CHAM RATE (Begin 1987),"Replacement of any type of pacemaker device with single-chamber device, rate responsive",2001978
37.87,37.87,37.87,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REPL PACEM W DUALCHAM (Begin 1987),Replacement of any type pacemaker device with dual-chamber device,2001979
37.89,37.89,37.89,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REVISE OR REMOVE PACEMAK (Begin 1987),Revision or removal of pacemaker device,2001980
37.91,37.91,37.91,7.7,Other OR heart procedures [49.],OPN CHEST CARDIAC MASSAG,Open chest cardiac massage,2001993
37.94,37.94,37.94,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],IMPLT/REPL CARDDEFIB TOT (Begin 1986),"Implantation or replacement of automatic cardioverter/defibrillator, total system [AICD]",2001996
37.95,37.95,37.95,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],IMPLT CARDIODEFIB LEADS (Begin 1986),Implantation of automatic cardioverter/defibrillator lead(s) only,2001997
37.96,37.96,37.96,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],IMPLT CARDIODEFIB GENATR (Begin 1986),Implantation of automatic cardioverter/defibrillator pulse generator only,2001998
37.97,37.97,37.97,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REPL CARDIODEFIB LEADS (Begin 1986),Replacement of automatic cardioverter/defibrillator lead(s) only,2001999
37.98,37.98,37.98,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],REPL CARDIODEFIB GENRATR (Begin 1986),Replacement of automatic cardioverter/defibrillator pulse generator only,2002000
37.99,37.99,37.99,7.7,Other OR heart procedures [49.],OTHER HEART/PERICARD OPS,Other operations on heart and pericardium,2002001
38.00,38.00,38.00,7.19,Other OR procedures on vessels other than head and neck [61.],INCISION OF VESSEL NOS,"Incision of vessel, unspecified site",2002014
38.01,38.01,38.01,7.17,Other OR procedures on vessels of head and neck [59.],INTRACRAN VESSEL INCIS,"Incision of vessel, intracranial vessels",2002015
38.02,38.02,38.02,7.17,Other OR procedures on vessels of head and neck [59.],HEAD/NECK VES INCIS NEC,"Incision of vessel, other vessels of head and neck",2002016
38.03,38.03,38.03,7.19,Other OR procedures on vessels other than head and neck [61.],UPPER LIMB VESSEL INCIS,"Incision of vessel, upper limb vessels",2002017
38.04,38.04,38.04,7.19,Other OR procedures on vessels other than head and neck [61.],INCISION OF AORTA,"Incision of vessel, aorta",2002018
38.05,38.05,38.05,7.19,Other OR procedures on vessels other than head and neck [61.],THORACIC VESSEL INC NEC,"Incision of vessel, other thoracic vessels",2002019
38.06,38.06,38.06,7.19,Other OR procedures on vessels other than head and neck [61.],ABDOMEN ARTERY INCISION,"Incision of vessel, abdominal arteries",2002020
38.07,38.07,38.07,7.19,Other OR procedures on vessels other than head and neck [61.],ABDOMINAL VEIN INCISION,"Incision of vessel, abdominal veins",2002021
38.08,38.08,38.08,7.18,Embolectomy and endarterectomy of lower limbs [60.],EMBOLECTOMY LEG VESSEL,"Incision of vessel, lower limb arteries",2002022
38.09,38.09,38.09,7.19,Other OR procedures on vessels other than head and neck [61.],LOWER LIMB VEIN INCISION,"Incision of vessel, lower limb veins",2002023
38.10,38.10,38.10,7.19,Other OR procedures on vessels other than head and neck [61.],ENDARTERECTOMY NOS,"Endarterectomy, unspecified site",2002025
38.11,38.11,38.11,7.9,Endarterectomy; vessel of head and neck [51.],INTRACRAN ENDARTERECTOMY,"Endarterectomy, intracranial vessels",2002026
38.12,38.12,38.12,7.9,Endarterectomy; vessel of head and neck [51.],HEAD & NECK ENDARTER NEC,"Endarterectomy, other vessels of head and neck",2002027
38.13,38.13,38.13,7.19,Other OR procedures on vessels other than head and neck [61.],UPPER LIMB ENDARTERECTOM,"Endarterectomy, upper limb vessels",2002028
38.14,38.14,38.14,7.19,Other OR procedures on vessels other than head and neck [61.],ENDARTERECTOMY OF AORTA,"Endarterectomy, aorta",2002029
38.15,38.15,38.15,7.19,Other OR procedures on vessels other than head and neck [61.],THORACIC ENDARTERECTOMY,"Endarterectomy, other thoracic vessels",2002030
38.16,38.16,38.16,7.19,Other OR procedures on vessels other than head and neck [61.],ABDOMINAL ENDARTERECTOMY,"Endarterectomy, abdominal arteries",2002031
38.18,38.18,38.18,7.18,Embolectomy and endarterectomy of lower limbs [60.],ENDARTERECTOMY LEG VESL,"Endarterectomy, lower limb arteries",2002042
38.26,38.26,38.26,7.20,Other diagnostic cardiovascular procedures [62.],INSRT PRSR SNSR W/O LEAD (Begin 2011),Insertion of implantable pressure sensor without lead for intracardiac or great vessel hemodynamic monitoring,40756804
38.30,38.30,38.30,7.19,Other OR procedures on vessels other than head and neck [61.],VESSEL RESECT/ANAST NOS,"Resection of vessel with anastomosis, unspecified site",2002049
38.31,38.31,38.31,7.17,Other OR procedures on vessels of head and neck [59.],INTRACRAN VES RESECANAS,"Resection of vessel with anastomosis, intracranial vessels",2002050
38.32,38.32,38.32,7.17,Other OR procedures on vessels of head and neck [59.],HEAD/NECK VES RESECANAS,"Resection of vessel with anastomosis, other vessels of head and neck",2002051
38.33,38.33,38.33,7.19,Other OR procedures on vessels other than head and neck [61.],ARM VESSEL RESECT/ANAST,"Resection of vessel with anastomosis, upper limb vessels",2002062
38.34,38.34,38.34,7.10,Aortic resection; replacement or anastomosis [52.],AORTA RESECTION & ANAST,"Resection of vessel with anastomosis, aorta",2002063
38.35,38.35,38.35,7.19,Other OR procedures on vessels other than head and neck [61.],THOR VESSEL RESECT/ANAST,"Resection of vessel with anastomosis, other thoracic vessels",2002064
38.36,38.36,38.36,7.19,Other OR procedures on vessels other than head and neck [61.],ABD VESSEL RESECT/ANAST,"Resection of vessel with anastomosis, abdominal arteries",2002065
38.37,38.37,38.37,7.19,Other OR procedures on vessels other than head and neck [61.],ABD VEIN RESECT & ANAST,"Resection of vessel with anastomosis, abdominal veins",2002066
38.38,38.38,38.38,7.19,Other OR procedures on vessels other than head and neck [61.],LEG ARTERY RESECT/ANAST,"Resection of vessel with anastomosis, lower limb arteries",2002067
38.39,38.39,38.39,7.19,Other OR procedures on vessels other than head and neck [61.],LEG VEIN RESECT/ANASTOM,"Resection of vessel with anastomosis, lower limb veins",2002068
38.40,38.40,38.40,7.19,Other OR procedures on vessels other than head and neck [61.],VESSEL RESECT/REPLAC NOS,"Resection of vessel with replacement, unspecified site",2002070
38.41,38.41,38.41,7.17,Other OR procedures on vessels of head and neck [59.],INTRACRAN VES RESECREPL,"Resection of vessel with replacement, intracranial vessels",2002071
38.42,38.42,38.42,7.17,Other OR procedures on vessels of head and neck [59.],HEAD/NECK VES RESECREPL,"Resection of vessel with replacement, other vessels of head and neck",2002082
38.43,38.43,38.43,7.19,Other OR procedures on vessels other than head and neck [61.],ARM VES RESECT W REPLACE,"Resection of vessel with replacement, upper limb vessels",2002083
38.44,38.44,38.44,7.10,Aortic resection; replacement or anastomosis [52.],RESECT ABDM AORTA W REPL (Begin 1986),"Resection of vessel with replacement, aorta, abdominal",2002084
38.45,38.45,38.45,7.19,Other OR procedures on vessels other than head and neck [61.],RESECT THORAC VES W REPL (Begin 1986),"Resection of vessel with replacement, thoracic vessels",2002085
38.46,38.46,38.46,7.19,Other OR procedures on vessels other than head and neck [61.],ABD ARTERY RESEC W REPLA,"Resection of vessel with replacement, abdominal arteries",2002086
38.47,38.47,38.47,7.19,Other OR procedures on vessels other than head and neck [61.],ABD VEIN RESECT W REPLAC,"Resection of vessel with replacement, abdominal veins",2002087
38.48,38.48,38.48,7.19,Other OR procedures on vessels other than head and neck [61.],LEG ARTERY RESEC W REPLA,"Resection of vessel with replacement, lower limb arteries",2002088
38.49,38.49,38.49,7.19,Other OR procedures on vessels other than head and neck [61.],LEG VEIN RESECT W REPLAC,"Resection of vessel with replacement, lower limb veins",2002089
38.50,38.50,38.50,7.19,Other OR procedures on vessels other than head and neck [61.],VARICOSE V LIGSTRIP NOS,"Ligation and stripping of varicose veins, unspecified site",2002091
